Year,Number of institutions reporting,Total interest income,  Domestic office loans,  Lease financing receivables,  Balances due from depository institutions,  Securities,  Trading accounts,  Federal funds sold,Total interest expense,  Domestic office deposits,  Federal funds purchased,  Trading liabilities and other borrowed money,Net interest income,Total noninterest income,  Service charges on deposit accounts,  Trading account gains and fees,Total noninterest expense,  Salaries and employee benefits,  Premises and equipment expense,  Other noninterest expense,    Amortization expense and goodwill impairment losses,Securities gains (losses),Income (loss) before income taxes and extraordinary items,Applicable income taxes,"Extraordinary gains (losses), net",Net income (loss) attributable to bank,Cash dividends,Retained earnings,Net operating income,Number of unprofitable institutions,Number of institutions with year-over-year earnings gains
2018Q3,"5,477 ","169,022 ","125,893 ","1,318 ","6,812 ","23,508 ","2,762 ","2,052 ","31,927 ","20,161 ","1,053 ","7,460 ","137,095 ","66,627 ","9,085 ","7,193 ","113,671 ","53,982 ","11,158 ","47,267 ","1,264 ",130 ,"78,318 ","16,332 ",(39),"61,877 ","43,843 ","18,034 ","61,883 ",198 ,"3,979 "
2018Q4,"5,406 ","176,911 ","130,783 ","1,336 ","7,193 ","24,779 ","2,918 ","3,002 ","36,733 ","23,731 ","1,323 ","8,052 ","140,178 ","64,401 ","9,058 ","4,194 ","117,773 ","53,902 ","11,467 ","51,135 ","1,269 ",(230),"72,514 ","13,062 ",(40),"59,343 ","52,824 ","6,519 ","59,654 ",389 ,"3,963 "
2019Q1,"5,362 ","179,351 ","131,618 ","1,368 ","7,070 ","25,534 ","3,242 ","3,468 ","40,090 ","26,569 ","1,505 ","8,115 ","139,261 ","65,407 ","8,540 ","10,220 ","115,293 ","57,075 ","11,402 ","45,859 ",958 ,870 ,"76,365 ","15,582 ",(8),"60,711 ","38,649 ","22,062 ","60,083 ",214 ,"3,363 "
2019Q2,"5,303 ","180,647 ","133,373 ","1,364 ","6,222 ","25,369 ","3,432 ","3,798 ","41,635 ","28,193 ","1,636 ","7,823 ","139,012 ","66,231 ","8,962 ","8,363 ","115,095 ","56,313 ","11,418 ","46,390 ",974 ,"1,121 ","78,413 ","16,016 ",176 ,"62,508 ","48,651 ","13,857 ","61,492 ",208 ,"3,182 "
2019Q3,"5,258 ","180,840 ","134,222 ","1,275 ","6,157 ","24,886 ","3,490 ","3,749 ","42,080 ","29,258 ","1,673 ","7,308 ","138,760 ","69,452 ","9,281 ","7,509 ","120,088 ","56,643 ","11,767 ","48,697 ","2,982 ",(956),"73,291 ","15,878 ",(2),"57,349 ","47,770 ","9,579 ","58,168 ",228 ,"3,266 "
2019Q4,"5,177 ","173,622 ","129,832 ","1,344 ","5,003 ","24,408 ","3,345 ","2,956 ","36,877 ","25,907 ","1,314 ","6,327 ","136,745 ","66,020 ","9,269 ","7,288 ","121,778 ","56,797 ","11,752 ","51,724 ","1,506 ","2,899 ","68,959 ","14,006 ",(3),"54,899 ","49,223 ","5,676 ","52,631 ",393 ,"2,804 "
2020Q1,"5,116 ","169,537 ","128,181 ","1,355 ","4,215 ","23,930 ","3,199 ","2,454 ","32,240 ","22,752 ","1,103 ","5,652 ","137,297 ","66,933 ","8,970 ","7,101 ","128,920 ","58,489 ","11,794 ","49,208 ","9,430 ","1,755 ","24,369 ","5,811 ",(26),"18,488 ","32,684 ","(14,196)","17,062 ",380 ,"2,239 "
2020Q2,"5,066 ","150,183 ","117,425 ","1,296 ","1,203 ","21,948 ","2,450 ",834 ,"18,750 ","13,413 ",231 ,"3,869 ","131,433 ","70,766 ","6,887 ","13,963 ","122,341 ","58,999 ","11,853 ","47,923 ","3,566 ","2,503 ","20,160 ","1,570 ",(79),"18,467 ","14,035 ","4,432 ","16,444 ",286 ,"2,625 "
2020Q3,"5,033 ","143,223 ","114,445 ","1,227 ",999 ,"19,728 ","1,205 ",744 ,"14,470 ","10,454 ",181 ,"2,880 ","128,753 ","72,602 ","8,016 ","7,158 ","123,656 ","60,381 ","12,077 ","49,480 ","1,717 ","2,479 ","65,719 ","14,491 ",(5),"51,136 ","15,828 ","35,308 ","49,299 ",240 ,"2,445 "
2020Q4,"5,002 ","143,348 ","114,734 ","1,251 ","1,005 ","19,189 ","1,932 ",708 ,"11,979 ","8,510 ",97 ,"2,518 ","131,368 ","70,285 ","8,384 ","6,487 ","125,772 ","60,505 ","12,721 ","50,992 ","1,555 ","1,518 ","74,181 ","14,648 ",9 ,"59,480 ","21,830 ","37,650 ","58,152 ",374 ,"2,868 "
2021Q1,"4,978 ","139,769 ","111,166 ","1,212 ","1,026 ","19,430 ","1,834 ",600 ,"10,046 ","7,069 ",77 ,"2,174 ","129,723 ","76,794 ","8,030 ","11,057 ","124,904 ","64,694 ","12,175 ","46,975 ","1,059 ","1,395 ","97,528 ","20,684 ",(0),"76,775 ","23,880 ","52,895 ","75,711 ",192 ,"3,715 "
2021Q2,"4,950 ","138,558 ","109,554 ","1,165 ","1,080 ","19,823 ","1,886 ",474 ,"9,299 ","6,269 ",99 ,"2,248 ","129,258 ","75,764 ","8,356 ","8,012 ","126,097 ","62,350 ","11,843 ","50,915 ",989 ,735 ,"90,440 ","20,045 ",28 ,"70,378 ","36,570 ","33,807 ","69,812 ",204 ,"3,288 "
2021Q3,"4,914 ","143,207 ","112,537 ","1,160 ","1,419 ","20,889 ","1,979 ",574 ,"8,738 ","5,768 ",101 ,"2,137 ","134,469 ","75,985 ","8,850 ","7,123 ","128,084 ","62,705 ","11,959 ","52,470 ",951 ,338 ,"87,935 ","18,391 ",3 ,"69,492 ","54,700 ","14,792 ","69,266 ",206 ,"3,271 "
2021Q4,"4,839 ","145,382 ","113,252 ","1,128 ","1,463 ","22,050 ","2,022 ",723 ,"8,327 ","5,447 ",81 ,"2,027 ","137,055 ","72,600 ","8,881 ","7,279 ","133,450 ","63,879 ","12,311 ","56,299 ",961 ,574 ,"77,510 ","13,628 ",16 ,"63,864 ","41,499 ","22,365 ","63,416 ",389 ,"2,524 "
2022Q1,"4,796 ","146,492 ","111,514 ","1,102 ","1,833 ","24,202 ","2,105 ",859 ,"8,462 ","5,335 ",126 ,"2,083 ","138,030 ","76,652 ","8,776 ","10,765 ","133,868 ","66,563 ","12,010 ","54,214 ","1,081 ",(588),"75,013 ","15,207 ",(0),"59,750 ","28,908 ","30,842 ","60,286 ",269 ,"1,792 "
2022Q2,"4,771 ","164,977 ","121,235 ","1,086 ","5,316 ","27,434 ","2,374 ","1,518 ","13,851 ","8,759 ",506 ,"2,994 ","151,126 ","76,883 ","8,700 ","10,271 ","134,830 ","64,902 ","11,846 ","57,120 ",963 ,(307),"81,795 ","17,074 ",(249),"64,410 ","29,026 ","35,384 ","64,974 ",233 ,"2,311 "
2022Q3,"4,746 ","202,692 ","143,571 ","1,131 ","12,457 ","31,178 ","2,989 ","3,609 ","34,072 ","22,988 ","1,505 ","5,781 ","168,620 ","76,788 ","8,168 ","12,883 ","138,843 ","66,262 ","11,944 ","59,640 ",997 ,"(1,318)","90,593 ","18,856 ",(11),"71,661 ","37,874 ","33,787 ","72,797 ",169 ,"2,978 "
2022Q4,"4,706 ","242,249 ","166,549 ","1,251 ","17,881 ","36,060 ","3,751 ","6,325 ","61,939 ","41,945 ","2,804 ","10,289 ","180,311 ","62,940 ","7,609 ","9,874 ","135,912 ","66,453 ","12,455 ","55,669 ","1,334 ","(1,742)","84,794 ","16,542 ",28 ,"68,215 ","57,165 ","11,050 ","69,859 ",281 ,"3,279 "
2023Q1,"4,672 ","261,352 ","175,749 ","1,246 ","23,109 ","37,954 ","4,201 ","7,788 ","85,612 ","58,921 ","4,233 ","13,408 ","175,740 ","85,968 ","7,410 ","17,710 ","141,333 ","70,520 ","11,998 ","56,236 ","2,579 ","(2,176)","97,460 ","17,582 ",5 ,"79,786 ","44,245 ","35,541 ","81,700 ",212 ,"3,117 "
2023Q2,"4,645 ","283,193 ","188,079 ","1,322 ","28,723 ","38,320 ","4,950 ","9,318 ","108,862 ","73,833 ","6,741 ","17,580 ","174,330 ","78,183 ","7,592 ","13,762 ","141,901 ","68,309 ","11,864 ","60,159 ","1,568 ","(1,239)","87,918 ","17,016 ",0 ,"70,771 ","50,999 ","19,773 ","71,939 ",239 ,"2,429 "
2023Q3,"4,614 ","298,618 ","198,807 ","1,366 ","30,016 ","39,774 ","5,393 ","10,168 ","123,391 ","87,151 ","6,942 ","17,269 ","175,226 ","74,090 ","7,613 ","13,239 ","140,921 ","68,427 ","12,190 ","58,504 ","1,800 ","(4,241)","84,644 ","16,220 ",48 ,"68,385 ","45,827 ","22,558 ","71,798 ",311 ,"1,709 "
2023Q4,"4,587 ","309,970 ","205,038 ","1,485 ","32,202 ","41,139 ","5,631 ","11,201 ","135,372 ","96,440 ","7,821 ","17,845 ","174,598 ","67,602 ","7,689 ","11,745 ","167,559 ","68,399 ","12,638 ","78,921 ","7,601 ","(3,848)","46,117 ","8,455 ",825 ,"38,392 ","72,239 ","(33,847)","40,841 ",499 ,"1,468 "
